US_bath,compressed_air,degreasing,dry_tissue,plasma,plasma_distance,plasma_passes,plasma_power,plasma_speed,posttreatment,pretreatment,roughening,scenario,tensileStrength,VisualQ,failureMode,cost,Feasibility,FinalcontactAngle
0,1,0,0,1,17.085415057865113,31,454.2719837724802,215.86409398753335,0,1,0,3,5.191142980987264,1.0,adhesive failure,2.182907869221009,1.0,69.42432666956977
0,0,0,1,1,7.176300144418736,41,331.7630706368873,33.453767766544445,0,1,0,3,3.3387251654544836,1.0,adhesive failure,2.5747227157923804,1.0,115.45701313878992
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,5.1578740393252875,2.0,adhesive failure,1.4714992663691724,1.0,70.0
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,5.1578740393252875,2.0,adhesive failure,1.4714992663691724,1.0,70.0
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,5.1578740393252875,2.0,adhesive failure,1.4714992663691724,1.0,70.0
0,0,0,1,1,16.649953641514315,24,387.0664505200496,144.5222708721644,0,1,0,3,5.442893724612256,1.0,adhesive failure,2.2448794361821642,1.0,65.13643051237096
0,0,1,0,0,4.0,1,300.0,5.0,0,1,0,2,5.570215689412569,2.0,adhesive failure,1.8614992663691725,1.0,63.0
0,0,0,1,0,4.0,1,300.0,5.0,0,1,0,2,5.482512240078982,2.0,adhesive failure,1.8389992663691725,1.0,64.47
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,5.1578740393252875,2.0,adhesive failure,1.4714992663691724,1.0,70.0
0,0,1,0,1,10.882421771248392,39,419.94616256936536,24.83200437398594,0,1,0,3,2.953268134511599,1.0,adhesive failure,2.704818128700032,1.0,143.76308997800447
1,0,0,0,0,4.0,1,300.0,5.0,0,1,0,2,5.1578740393252875,2.0,adhesive failure,2.405999266369172,1.0,70.0
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,5.1578740393252875,2.0,adhesive failure,1.4714992663691724,1.0,70.0
1,0,0,0,0,4.0,1,300.0,5.0,0,1,0,2,5.1578740393252875,2.0,adhesive failure,2.405999266369172,1.0,70.0
0,1,0,0,0,4.0,1,300.0,5.0,0,1,0,2,5.230876540401368,2.0,adhesive failure,1.7840070788691726,1.0,68.74
1,0,0,0,1,7.317788732901432,1,314.3086849152523,183.8636977009819,0,1,0,3,5.607027134899561,1.0,adhesive failure,2.76185906399463,1.0,62.38468758614121
0,0,1,0,1,4.09933626539407,16,387.378634435122,154.9765042811106,0,1,0,3,7.6161053801618825,2.0,adhesive failure,2.2478160250783326,1.0,23.584109315094143
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,5.1578740393252875,2.0,adhesive failure,1.4714992663691724,1.0,70.0
0,0,1,0,0,4.0,1,300.0,5.0,0,1,0,2,5.570215689412569,2.0,adhesive failure,1.8614992663691725,1.0,63.0
1,0,0,0,1,19.22286022005749,25,400.51191267651006,136.53515726648038,0,1,0,3,5.1156779060432385,1.0,adhesive failure,2.8171888002071035,1.0,70.73394943982083
0,0,0,1,0,4.0,1,300.0,5.0,0,1,0,2,5.482512240078982,2.0,adhesive failure,1.8389992663691725,1.0,64.47
1,0,0,0,0,4.0,1,300.0,5.0,0,1,0,2,5.1578740393252875,2.0,adhesive failure,2.405999266369172,1.0,70.0
0,0,0,1,0,4.0,1,300.0,5.0,0,1,0,2,5.482512240078982,2.0,adhesive failure,1.8389992663691725,1.0,64.47
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,5.1578740393252875,2.0,adhesive failure,1.4714992663691724,1.0,70.0
0,0,1,0,1,15.30445061074876,37,480.01756736194153,195.89513118848444,0,1,0,3,5.5432137702283235,1.0,adhesive failure,2.2745076833136704,1.0,63.451910980426774
0,0,1,0,0,4.0,1,300.0,5.0,0,1,0,2,5.570215689412569,2.0,adhesive failure,1.8614992663691725,1.0,63.0
1,0,0,0,0,4.0,1,300.0,5.0,0,1,0,2,5.1578740393252875,2.0,adhesive failure,2.405999266369172,1.0,70.0
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,5.1578740393252875,2.0,adhesive failure,1.4714992663691724,1.0,70.0
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,5.1578740393252875,2.0,adhesive failure,1.4714992663691724,1.0,70.0
0,0,1,0,1,9.328039451665601,37,328.48707466836345,140.35489017689864,0,1,0,3,6.686508986692022,1.0,adhesive failure,2.297736642448709,1.0,43.85262321436268
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,5.1578740393252875,2.0,adhesive failure,1.4714992663691724,1.0,70.0
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,5.1578740393252875,2.0,adhesive failure,1.4714992663691724,1.0,70.0
1,0,0,0,1,7.228091079247653,35,490.4390819630955,223.04100534979125,0,1,0,3,7.330524010319495,1.0,adhesive failure,2.8090549166303,1.0,30.711859446032683
0,0,1,0,0,4.0,1,300.0,5.0,0,1,0,2,5.570215689412569,2.0,adhesive failure,1.8614992663691725,1.0,63.0
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,5.1578740393252875,2.0,adhesive failure,1.4714992663691724,1.0,70.0
