US_bath,compressed_air,degreasing,dry_tissue,plasma,plasma_distance,plasma_passes,plasma_power,plasma_speed,posttreatment,pretreatment,roughening,scenario,tensileStrength,VisualQ,failureMode,cost,Feasibility,FinalcontactAngle
0,0,1,0,0,4.0,1,300.0,5.0,0,1,1,4,4.755467166789768,2.0,adhesive failure,5.182332599702506,1.0,77.22624
1,0,0,0,0,4.0,1,300.0,5.0,0,1,0,2,4.7143578975934375,2.0,adhesive failure,2.405999266369172,1.0,78.0
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,4.7143578975934375,2.0,adhesive failure,1.4714992663691724,1.0,78.0
0,0,1,0,1,12.049330644924956,1,454.5653243224748,221.24709170584856,0,1,0,3,5.11383869694765,1.0,adhesive failure,2.2170738616881964,1.0,70.76604184981777
0,1,0,0,0,4.0,1,300.0,5.0,0,1,1,4,4.73817542204341,2.0,adhesive failure,5.104840412202506,1.0,77.55072
1,0,0,0,0,4.0,1,300.0,5.0,0,1,1,4,4.553148875540939,2.0,adhesive failure,5.726832599702505,1.0,81.12
0,1,0,0,0,4.0,1,300.0,5.0,0,1,1,4,4.73817542204341,2.0,adhesive failure,5.104840412202506,1.0,77.55072
0,1,0,0,1,7.500673690785417,47,388.42815108083533,227.78240994825578,1,1,1,6,7.007177410145194,1.0,adhesive failure,5.835770021253027,1.0,37.67249040235149
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,4.7143578975934375,2.0,adhesive failure,1.4714992663691724,1.0,78.0
1,0,0,0,0,4.0,1,300.0,5.0,0,1,1,4,4.553148875540939,2.0,adhesive failure,5.726832599702505,1.0,81.12
0,0,1,0,0,4.0,1,300.0,5.0,1,1,0,5,5.040561863431046,2.0,adhesive failure,2.251499266369173,1.0,72.05208192
1,0,0,0,1,5.089355587015326,20,323.7108287095489,224.60048701529564,0,1,0,3,6.876334697552658,2.0,adhesive failure,2.7878879011798516,1.0,40.26267591889204
0,1,0,0,1,11.649500730730793,10,376.4634904063013,18.199052860827962,0,1,0,3,4.772755632168474,1.0,adhesive failure,2.309276960233528,1.0,76.90321133731382
0,0,1,0,1,19.71207586435127,7,323.8761795852497,185.93814875511995,0,1,0,3,4.876492057914769,1.0,adhesive failure,2.2273861220520628,1.0,74.99217101406866
0,1,0,0,0,4.0,1,300.0,5.0,0,1,0,2,4.899841772861162,2.0,adhesive failure,1.7840070788691726,1.0,74.568
0,0,0,1,0,4.0,1,300.0,5.0,0,1,1,4,5.592666084349947,2.0,adhesive failure,5.159832599702506,1.0,62.62464000000001
0,0,0,1,0,4.0,1,300.0,5.0,0,1,1,4,5.592666084349947,2.0,adhesive failure,5.159832599702506,1.0,62.62464000000001
0,0,1,0,0,4.0,1,300.0,5.0,0,1,0,2,4.917088687688938,2.0,adhesive failure,1.8614992663691725,1.0,74.256
0,0,1,0,1,4.397696671528717,29,456.37558331620426,70.4296915658154,0,1,0,3,4.969837638884126,2.0,adhesive failure,2.343929683488397,1.0,73.30832259533369
0,0,0,1,1,6.840912660291401,22,494.4226245703032,16.400236824396686,1,1,1,6,2.7692289413283695,2.0,adhesive failure,6.299433505242531,1.0,203.4972068312893
