US_bath,compressed_air,degreasing,dry_tissue,plasma,plasma_distance,plasma_passes,plasma_power,plasma_speed,posttreatment,pretreatment,roughening,scenario,tensileStrength,VisualQ,failureMode,cost,Feasibility,FinalcontactAngle
0,1,0,0,1,17.085415057865113,31,454.2719837724802,215.86409398753335,0,1,0,3,6.128566018650821,1.0,adhesive failure,2.182907869221009,1.0,53.65675311341806
0,0,0,1,1,7.176300144418736,41,331.7630706368873,33.453767766544445,0,1,0,3,3.256349305727443,1.0,adhesive failure,2.5747227157923804,1.0,119.60303816241591
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,4.610153113234325,2.0,adhesive failure,1.4714992663691724,1.0,80.0
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,4.610153113234325,2.0,adhesive failure,1.4714992663691724,1.0,80.0
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,4.610153113234325,2.0,adhesive failure,1.4714992663691724,1.0,80.0
0,0,0,1,1,16.649953641514315,24,387.0664505200496,144.5222708721644,0,1,0,3,5.305467375077027,1.0,adhesive failure,2.2448794361821642,1.0,67.46382737530895
0,0,1,0,0,4.0,1,300.0,5.0,0,1,0,2,5.043512751384506,2.0,adhesive failure,1.8614992663691725,1.0,72.0
0,0,0,1,0,4.0,1,300.0,5.0,0,1,0,2,5.344496983939775,2.0,adhesive failure,1.8389992663691725,1.0,66.8
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,4.610153113234325,2.0,adhesive failure,1.4714992663691724,1.0,80.0
0,0,1,0,1,10.882421771248392,39,419.94616256936536,24.83200437398594,0,1,0,3,2.841500098111874,1.0,adhesive failure,2.704818128700032,1.0,164.19518024830109
1,0,0,0,0,4.0,1,300.0,5.0,0,1,0,2,4.610153113234325,2.0,adhesive failure,2.405999266369172,1.0,80.0
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,4.610153113234325,2.0,adhesive failure,1.4714992663691724,1.0,80.0
1,0,0,0,0,4.0,1,300.0,5.0,0,1,0,2,4.610153113234325,2.0,adhesive failure,2.405999266369172,1.0,80.0
0,1,0,0,0,4.0,1,300.0,5.0,0,1,0,2,6.169630649169978,2.0,adhesive failure,1.7840070788691726,1.0,52.96
1,0,0,0,1,7.317788732901432,1,314.3086849152523,183.8636977009819,0,1,0,3,5.089515481493155,1.0,adhesive failure,2.76185906399463,1.0,71.19129180045739
0,0,1,0,1,4.09933626539407,16,387.378634435122,154.9765042811106,0,1,0,3,7.491157890617558,2.0,adhesive failure,2.2478160250783326,1.0,26.847773776403603
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,4.610153113234325,2.0,adhesive failure,1.4714992663691724,1.0,80.0
0,0,1,0,0,4.0,1,300.0,5.0,0,1,0,2,5.043512751384506,2.0,adhesive failure,1.8614992663691725,1.0,72.0
1,0,0,0,1,19.22286022005749,25,400.51191267651006,136.53515726648038,0,1,0,3,4.572717731282326,1.0,adhesive failure,2.8171888002071035,1.0,80.73330534751982
0,0,0,1,0,4.0,1,300.0,5.0,0,1,0,2,5.344496983939775,2.0,adhesive failure,1.8389992663691725,1.0,66.8
1,0,0,0,0,4.0,1,300.0,5.0,0,1,0,2,4.610153113234325,2.0,adhesive failure,2.405999266369172,1.0,80.0
0,0,0,1,0,4.0,1,300.0,5.0,0,1,0,2,5.344496983939775,2.0,adhesive failure,1.8389992663691725,1.0,66.8
0,0,0,0,0,4.0,1,300.0,5.0,0,0,0,1,4.610153113234325,2.0,adhesive failure,1.4714992663691724,1.0,80.0
0,0,1,0,1,15.30445061074876,37,480.01756736194153,195.89513118848444,0,1,0,3,5.0202672489677616,1.0,adhesive failure,2.2745076833136704,1.0,72.4109756796409
0,0,1,0,0,4.0,1,300.0,5.0,0,1,0,2,5.043512751384506,2.0,adhesive failure,1.8614992663691725,1.0,72.0
1,0,0,0,0,4.0,1,300.0,5.0,0,1,0,2,4.610153113234325,2.0,adhesive failure,2.405999266369172,1.0,80.0
