scenario,plasma_distance,plasma_passes,plasma_power,plasma_speed,pretreatment,loss,c1,macrorep,iteration,cumulative_max_loss,c1_cumulative_max_loss,best_row_number
5,12.212343915877069,20,477.95414165043746,210.557125540722,degreasing,5.040561863431046,2.0,1,1,0.0,0,1
4,6.17285816195089,7,312.33462540554586,231.1468991247077,compressed_air,4.73817542204341,2.0,1,2,0.0,0,1
3,4.640894883844819,30,326.6536542229082,109.1082734591492,dry_tissue,6.900364461702049,2.0,1,3,0.0,0,1
5,10.391933252433416,4,437.45234090241274,218.7104826195201,degreasing,5.040561863431046,2.0,1,4,0.0,0,1
2,19.238486476784892,49,423.61055776696145,140.12921593634925,compressed_air,4.899841772861162,2.0,1,5,0.0,0,1
3,11.61684096764867,30,483.5369791786118,219.30964276601213,compressed_air,5.786476978548128,1.0,1,6,5.786476978548128,1,6
5,8.464526858636779,8,357.3515103638385,219.19061427279422,compressed_air,5.023437998889708,2.0,1,7,5.786476978548128,1,6
1,12.33919822800684,31,498.74867092216493,212.65888213412973,dry_tissue,4.7143578975934375,2.0,1,8,5.786476978548128,1,6
6,13.62494739261249,38,449.74180312617625,176.37754682898387,compressed_air,5.087257304209472,1.0,1,9,5.786476978548128,1,6
1,8.68804693473552,9,429.3533745579188,80.40158908634824,degreasing,4.7143578975934375,2.0,1,10,5.786476978548128,1,6
6,10.768468094965504,43,359.08419178693924,22.827888427248602,degreasing,2.876378898444904,1.0,1,11,5.786476978548128,1,6
5,4.673386780651608,43,383.163614327387,152.2956663177303,dry_tissue,5.844241634220034,2.0,1,12,5.786476978548128,1,6
5,14.816748757821237,16,446.0090245221998,248.92050396747328,US_bath,4.838604058961241,2.0,1,13,5.786476978548128,1,6
6,15.76377025319015,46,374.5968203931279,100.51300864056275,degreasing,5.000835352565815,1.0,1,14,5.786476978548128,1,6
4,7.268656010938555,42,378.5951479338123,122.93912236165771,US_bath,4.553148875540939,2.0,1,15,5.786476978548128,1,6
4,18.436540159219188,6,394.4202315976079,151.29514471911642,compressed_air,4.73817542204341,2.0,1,16,5.786476978548128,1,6
4,17.143980930723046,11,327.57761833307694,104.90732048702313,dry_tissue,5.592666084349947,2.0,1,17,5.786476978548128,1,6
3,6.240020843712253,46,363.5715599435164,218.21563102550894,degreasing,6.877648800002393,1.0,1,18,6.877648800002393,1,18
6,9.48958303225804,10,479.4649804475073,203.0668682567316,degreasing,7.47122571861277,1.0,1,19,7.47122571861277,1,19
4,16.25736594964506,13,454.68366575948244,50.12912815745526,dry_tissue,5.592666084349947,2.0,1,20,7.47122571861277,1,19
1,13.641073735140218,26,427.8869752911055,111.07183139666631,US_bath,4.7143578975934375,2.0,1,21,7.47122571861277,1,19
4,16.191779520012474,41,395.34943634281615,211.3053165187529,US_bath,4.553148875540939,2.0,1,22,7.47122571861277,1,19
3,8.622537924439655,42,353.56542314347473,228.60500002705916,dry_tissue,7.210224624077245,1.0,1,23,7.47122571861277,1,19
6,11.79549234574924,17,487.1421496678904,132.5976338044776,degreasing,5.805944714741685,1.0,1,24,7.47122571861277,1,19
3,13.369196527908482,41,346.26078974564166,89.0520423077335,US_bath,4.71157920878418,1.0,1,25,7.47122571861277,1,19
1,19.94734389779044,22,492.82508154639754,14.614995491695186,compressed_air,4.7143578975934375,2.0,1,26,7.47122571861277,1,19
5,16.899087218501712,2,459.9496426282117,174.27623917934815,compressed_air,5.023437998889708,2.0,1,27,7.47122571861277,1,19
1,12.208319358535979,17,407.51912512284406,74.11726053196388,compressed_air,4.7143578975934375,2.0,1,28,7.47122571861277,1,19
6,11.144834623107158,12,350.0673394582252,161.75255452441513,dry_tissue,6.6831476252130475,1.0,1,29,7.47122571861277,1,19
4,5.126068524984518,44,456.63818439974125,90.69539608515564,compressed_air,4.73817542204341,2.0,1,30,7.47122571861277,1,19
1,8.611525524250613,33,400.077932764614,233.70486355633327,dry_tissue,4.7143578975934375,2.0,1,31,7.47122571861277,1,19
5,7.1225947354620285,22,315.7076461349009,62.56163265103972,dry_tissue,5.844241634220034,2.0,1,32,7.47122571861277,1,19
1,14.715313628612218,50,398.8692064697873,59.970869225845135,US_bath,4.7143578975934375,2.0,1,33,7.47122571861277,1,19
3,17.00592140818796,44,355.46797086007575,72.51834872371326,compressed_air,4.858735675978671,1.0,1,34,7.47122571861277,1,19
5,4.847473753977566,24,347.05228472367406,216.5500643062565,US_bath,4.838604058961241,2.0,1,35,7.47122571861277,1,19
1,6.285280224949357,47,462.7112261175637,113.2157898733748,dry_tissue,4.7143578975934375,2.0,1,36,7.47122571861277,1,19
5,15.961751508763031,45,391.3217274573417,54.21956067573384,compressed_air,5.023437998889708,2.0,1,37,7.47122571861277,1,19
5,10.697383317453413,21,469.40396727651967,50.29898996282357,compressed_air,5.023437998889708,2.0,1,38,7.47122571861277,1,19
